"features__Gender","features__FrameSize","features__AmountConsumed","features__Meal","features__Duration","solution"
"0","1","1","1","60","0.2"
"1","2","3","0","120","0.8"
"1","4","4","2","90","0.8"
"0","4","6","0","120","1.0++"
"0","4","3","0","60","0.5"
"0","5","4","0","60","0.6"
"0","5","7","0","120","1.0++"
"0","5","10","0","180","1.0++"
"0","5","14","0","240","1.0++"
"0","7","3","2","60","0.3"
"0","7","7","2","120","0.9"
"0","7","11","2","180","1.0++"
"1","3","4","1","60","1.0++"
"1","3","6","1","120","1.0++"
"1","7","4","2","90","0.5"
"1","5","2","0","60","0.3"
"1","5","5","0","120","0.9"
"1","5","7","0","180","1.0++"
"0","4","2","0","30","0.1"
"1","1","2","0","60","0.7"
"1","1","4","0","120","1.0++"
"1","1","5","2","180","1.0++"
"0","6","6","0","120","0.8"
"1","2","2","2","120","0.4"
"0","6","10","0","180","1.0++"
"1","5","3","0","60","0.5"
"1","5","4","0","120","0.7"
"1","5","6","2","180","0.8"
"0","8","4","0","60","0.4"
"0","8","6","0","120","0.6"
"0","8","8","0","180","0.9"
"0","8","12","0","240","1.0++"
"1","6","3","2","90","0.5"
"1","6","5","2","120","0.7"
"1","6","7","2","180","0.9"
"0","3","6","1","90","1.0++"
"1","3","3","0","120","0.6"
"1","3","5","0","180","1.0++"
"1","4","4","0","60","1.0++"
"1","4","6","2","150","1.0++"
"0","5","8","2","150","1.0++"
"0","4","4","0","60","0.8"
"0","4","6","2","150","0.9"
"0","4","10","2","240","1.0++"
"0","5","8","0","120","1.0++"
"1","2","2","1","60","0.5"
"1","3","3","1","90","0.7"
"1","1","3","1","90","1.0++"
"1","6","6","0","60","1.0++"
"1","6","6","2","60","1.0++"
"1","2","2","0","90","0.5"
"1","6","4","0","60","0.7"
"1","4","5","2","240","0.7"
"1","3","7","1","240","1.0++"
"0","1","3","1","120","0.7"
"0","4","4","1","120","0.6"
"0","3","7","1","180","1.0++"
"1","5","6","0","180","0.9"
"0","6","8","2","180","0.9"
"0","3","8","2","240","1.0++"
"0","5","10","2","240","1.0++"
"0","5","8","1","120","1.0++"
"0","6","4","0","90","0.6"
"0","6","6","1","120","0.8"
"0","5","2","1","30","0.2"
"1","3","2","1","60","0.5"
"1","2","3","0","60","0.9"
"0","4","2","0","60","0.3"
"0","6","4","2","60","0.5"
"0","1","4","0","60","1.0++"
"0","1","2","1","60","0.6"
"0","1","3","2","60","0.9"
"0","2","4","0","60","1.0++"
"0","3","4","0","60","0.9"
"0","5","6","0","60","1.0++"
"0","6","6","0","60","0.9"
"0","7","6","0","60","0.9"
"0","8","6","0","60","0.8"
"0","8","8","0","60","1.0++"
"0","3","5","0","120","1.0++"
"0","4","5","0","120","0.8"
"0","5","5","0","120","0.7"
"0","6","5","0","120","0.6"
"0","7","5","1","120","0.5"
"0","7","5","0","120","0.5"
